grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label,leiden_native_program
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,888,3.2989549012338824,3.344105862081051,,,6
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,888,2.5071356394353863,2.711275975406897,,,6
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,888,1.0500605150299167,1.069695567424033,,,6
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,888,0.7483356575036747,0.715626169122346,,,6
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,841,2.7730817803393313,2.7682218065778796,,,7
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,841,1.57142166177622,1.4911925786446394,,,7
leiden_native_program,,ion_water_balance,Ion / water balance,841,1.7155432660022163,1.789060413837433,,,7
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,841,0.9795747714487597,0.9832006935612633,,,7
leiden_native_program,,nutrient_transport,Nutrient transport,841,2.373174348280804,2.4749852042440486,,,7
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,841,2.378100281704923,2.3840510574585854,,,7
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,841,3.0596964154247193,3.165693575515219,,,7
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,841,1.5497604088740915,1.5705037943245816,,,7
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,841,1.7306240865005522,1.7081495411284524,,,7
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,827,3.2381305012010277,3.2415490713900947,,,8
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,827,1.7434622279562193,1.5724477511360466,,,8
leiden_native_program,,ion_water_balance,Ion / water balance,827,2.021989709486853,2.0614522982021315,,,8
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,827,0.9835723288121347,0.9892895329977013,,,8
