grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1,3.3193254225302926,3.3193254225302926,dawn,review_required
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,1,0.9577511126372685,0.9577511126372685,dawn,review_required
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,1,0.8013736937133031,0.8013736937133031,dawn,review_required
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,1,0.0,0.0,dawn,review_required
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,2,3.6222193225473474,3.6222193225473474,dawn,transport_interface_or_water_balance
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2,2.6023904278172107,2.6023904278172107,dawn,transport_interface_or_water_balance
timepoint+final_label,,ion_water_balance,Ion / water balance,2,1.907126768071847,1.907126768071847,dawn,transport_interface_or_water_balance
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2,1.993758702905525,1.993758702905525,dawn,transport_interface_or_water_balance
timepoint+final_label,,nutrient_transport,Nutrient transport,2,1.5761389573648124,1.5761389573648124,dawn,transport_interface_or_water_balance
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2,3.6380933306485708,3.6380933306485708,dawn,transport_interface_or_water_balance
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,2,0.42140782938038496,0.42140782938038496,dawn,transport_interface_or_water_balance
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,2,1.313336234715793,1.313336234715793,dawn,transport_interface_or_water_balance
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,2,2.523858560936265,2.523858560936265,dawn,transport_interface_or_water_balance
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,37,3.6606129675225745,3.6863431345991806,dawn,vascular_like_or_transport
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,37,3.010869140484,3.335727737873761,dawn,vascular_like_or_transport
timepoint+final_label,,ion_water_balance,Ion / water balance,37,1.355752761875519,1.3083392565139278,dawn,vascular_like_or_transport
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,37,0.7099544083037834,0.6965720534340865,dawn,vascular_like_or_transport
timepoint+final_label,,nutrient_transport,Nutrient transport,37,0.4304023967339812,0.0,dawn,vascular_like_or_transport
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,37,3.675001246809901,3.680250749243565,dawn,vascular_like_or_transport
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,37,0.9403968557646162,0.9795281275504718,dawn,vascular_like_or_transport
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,37,0.6141106496415647,0.591448878129437,dawn,vascular_like_or_transport
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,37,0.7280995718365597,0.5877168765302831,dawn,vascular_like_or_transport
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,5121,3.4543680578320637,3.5441781849812584,dusk,ambiguous
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,5121,1.9278434191242884,1.800325021147728,dusk,ambiguous
timepoint+final_label,,ion_water_balance,Ion / water balance,5121,1.4290649860859934,1.379557796886989,dusk,ambiguous
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,5121,1.1918867862173208,1.145184949040413,dusk,ambiguous
timepoint+final_label,,nutrient_transport,Nutrient transport,5121,1.0744353678197278,0.7254620945996687,dusk,ambiguous
